Zona,count
Nicolina 1,71
Podu Ros,70
CUG,62
Centru,60
Nicolina 2,53
Pacurari,44
Dacia,33
Tatarasi Sud,30
Alexandru Cel Bun,27
Tatarasi Nord,25
Bucium,25
Canta,22
Tudor Vladimirescu,21
Mircea cel Batran,21
Galata,21
Copou,15
Frumoasa,14
Gara,14
Ciurea,12
Agronomie,12
Iasi (General),10
Manta Rosie,10
Tesatura,9
Apartament de vanzare,8
Bularga,8
Strada Anastasie Panu,8
Strada Nicolae Oblu,7
Soseaua Nicolina,7
Valea Lupului,7
Uzinei,6
Podu de Fier,6
Strada Vasile Lupu,5
Aleea Tudor Neculai,5
Miroslava,5
Bulevardul Independentei,5
Strada Visan,5
Cantemir,4
Aviatiei,4
Stradela Moara de Vant,4
Baza 3,4
Carol I,4
Strada Strapungerea Silvestru,3
Strada Arcu,3
Zona Industriala,3
Soseaua Barnova,3
Bulevardul Tudor Vladimirescu,3
De vanzare,2
Strada Cuza Voda,2
Strada Ion Creanga,2
Aleea Rozelor,2
Soseaua Bucium,2
Aleea Mihail Sadoveanu,2
Bulevardul Poitiers,2
Strada Sergent Grigore Ioan,2
Soseaua Moara de Foc,2
Barnova,2
Strada Bacinschi,2
Strada Latcu Voda,2
Strada Barleanu Iftimie,2
Strada Canta,2
Moara de Vant,2
Soseaua Nationala,1
Strada Conductelor,1
Strada Academiei,1
Strada Malinului,1
Ticau,1
Apartament 2 camere,1
Soseaua Arcu,1
Strada Fantanilor,1
De vanzare 2 camere,1
Strada Duca Voda,1
Strada Hlincea,1
Stradela Uzinei,1
Strada Smardan,1
Garsoniera de vanzare,1
Strada Agronomilor,1
Soseaua Pacurari,1
Dancu,1
Vand Apartament decomandat,1
Strada Bisericii,1
Strada Constantin Langa,1
Rediu,1
Strada Decebal,1
Strada Oancea,1
Strada Libertatii,1
Strada Garii,1
Garsoniera,1
Strada Palas,1
Strada Carpati,1
Strada Silvestru,1
Bulevardul Nicolae Iorga,1
Soseaua Iasi-Voinesti,1
Aroneanu,1
Strada Buridava,1
Apartament 1 camera,1
Apartament spatios 3 camere,1
